1596757046 INTERNAL *** MONITORD_STARTED ***
1596757041 INTERNAL *** DAGMAN_STARTED 1.0 ***
1596757046 create_dir_harry-potter-text-analysis_0_local SUBMIT 2.0 local - 1
1596757051 create_dir_harry-potter-text-analysis_0_local EXECUTE 2.0 local - 1
1596757054 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 2.0 local - 1
1596757056 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1596757056 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 2.0 local - 1
1596757056 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1596757061 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1596757066 stage_in_remote_local_2_0 SUBMIT 3.0 local - 2
1596757066 stage_in_remote_local_1_0 SUBMIT 4.0 local - 3
1596757066 stage_in_remote_local_0_0 SUBMIT 5.0 local - 4
1596757067 stage_in_local_local_0_0 SUBMIT 6.0 local - 5
1596757069 stage_in_remote_local_1_0 EXECUTE 4.0 local - 3
1596757069 stage_in_local_local_0_0 EXECUTE 6.0 local - 5
1596757069 stage_in_remote_local_2_0 EXECUTE 3.0 local - 2
1596757069 stage_in_remote_local_0_0 EXECUTE 5.0 local - 4
1596757073 stage_in_remote_local_0_0 JOB_TERMINATED 5.0 local - 4
1596757077 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1596757077 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 5.0 local - 4
1596757073 stage_in_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1596757077 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1596757077 stage_in_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1596757073 stage_in_remote_local_1_0 JOB_TERMINATED 4.0 local - 3
1596757077 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1596757077 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 4.0 local - 3
1596757073 stage_in_remote_local_2_0 JOB_TERMINATED 3.0 local - 2
1596757077 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1596757077 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3.0 local - 2
1596757078 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1596757082 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1596757078 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1596757082 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1596757078 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1596757082 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1596757078 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1596757082 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1596757087 word_count_ID0000001 SUBMIT 7.0 condorpool - 6
1596757094 word_count_ID0000001 EXECUTE 7.0 condorpool - 6
1596757096 word_count_ID0000001 JOB_TERMINATED 7.0 condorpool - 6
1596757097 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1596757097 word_count_ID0000001 POST_SCRIPT_STARTED 7.0 condorpool - 6
1596757097 word_count_ID0000001 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1596757102 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1596757107 clean_up_local_level_3_0 SUBMIT 8.0 local - 7
1596757107 stage_out_local_local_0_0 SUBMIT 9.0 local - 8
1596757107 sort_ID0000002 SUBMIT 10.0 condorpool - 9
1596757109 sort_ID0000002 EXECUTE 10.0 condorpool - 9
1596757111 sort_ID0000002 JOB_TERMINATED 10.0 condorpool - 9
1596757112 sort_ID0000002 JOB_SUCCESS 0 condorpool - 9
1596757112 sort_ID0000002 POST_SCRIPT_STARTED 10.0 condorpool - 9
1596757112 clean_up_local_level_3_0 EXECUTE 8.0 local - 7
1596757112 stage_out_local_local_0_0 EXECUTE 9.0 local - 8
1596757113 sort_ID0000002 POST_SCRIPT_TERMINATED 10.0 condorpool - 9
1596757117 sort_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 9
1596757116 stage_out_local_local_0_0 JOB_TERMINATED 9.0 local - 8
1596757117 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1596757117 stage_out_local_local_0_0 POST_SCRIPT_STARTED 9.0 local - 8
1596757117 clean_up_local_level_3_0 JOB_TERMINATED 8.0 local - 7
1596757122 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1596757122 clean_up_local_level_3_0 POST_SCRIPT_STARTED 8.0 local - 7
1596757118 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1596757122 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1596757122 stage_out_local_local_1_0 SUBMIT 11.0 local - 10
1596757122 stage_out_local_local_1_0 EXECUTE 11.0 local - 10
1596757122 plot_ID0000003 SUBMIT 12.0 condorpool - 11
1596757123 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1596757127 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1596757125 plot_ID0000003 EXECUTE 12.0 condorpool - 11
1596757125 stage_out_local_local_1_0 JOB_TERMINATED 11.0 local - 10
1596757127 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 10
1596757127 stage_out_local_local_1_0 POST_SCRIPT_STARTED 11.0 local - 10
1596757127 clean_up_local_level_4_0 SUBMIT 13.0 local - 12
1596757127 clean_up_local_level_4_0 EXECUTE 13.0 local - 12
1596757127 register_local_0_0 SUBMIT 14.0 local - 13
1596757128 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 11.0 local - 10
1596757132 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 10
1596757129 register_local_0_0 EXECUTE 14.0 local - 13
1596757131 plot_ID0000003 JOB_TERMINATED 12.0 condorpool - 11
1596757132 plot_ID0000003 JOB_SUCCESS 0 condorpool - 11
1596757132 plot_ID0000003 POST_SCRIPT_STARTED 12.0 condorpool - 11
1596757132 clean_up_local_level_4_0 JOB_TERMINATED 13.0 local - 12
1596757132 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 12
1596757132 clean_up_local_level_4_0 POST_SCRIPT_STARTED 13.0 local - 12
1596757133 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 13.0 local - 12
1596757137 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 12
1596757133 plot_ID0000003 POST_SCRIPT_TERMINATED 12.0 condorpool - 11
1596757137 plot_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 11
1596757134 register_local_0_0 JOB_TERMINATED 14.0 local - 13
1596757137 register_local_0_0 JOB_SUCCESS 0 local - 13
1596757137 register_local_0_0 POST_SCRIPT_STARTED 14.0 local - 13
1596757137 register_local_0_0 POST_SCRIPT_TERMINATED 14.0 local - 13
1596757143 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 13
1596757143 clean_up_local_level_5_0 SUBMIT 15.0 local - 14
1596757143 stage_out_local_local_2_0 SUBMIT 16.0 local - 15
1596757143 register_local_1_0 SUBMIT 17.0 local - 16
1596757146 clean_up_local_level_5_0 EXECUTE 15.0 local - 14
1596757146 register_local_1_0 EXECUTE 17.0 local - 16
1596757146 stage_out_local_local_2_0 EXECUTE 16.0 local - 15
1596757150 stage_out_local_local_2_0 JOB_TERMINATED 16.0 local - 15
1596757153 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 15
1596757153 stage_out_local_local_2_0 POST_SCRIPT_STARTED 16.0 local - 15
1596757151 clean_up_local_level_5_0 JOB_TERMINATED 15.0 local - 14
1596757153 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 14
1596757153 clean_up_local_level_5_0 POST_SCRIPT_STARTED 15.0 local - 14
1596757154 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 16.0 local - 15
1596757158 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 15
1596757154 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 15.0 local - 14
1596757158 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 14
1596757154 register_local_1_0 JOB_TERMINATED 17.0 local - 16
1596757158 register_local_1_0 JOB_SUCCESS 0 local - 16
1596757158 register_local_1_0 POST_SCRIPT_STARTED 17.0 local - 16
1596757158 register_local_1_0 POST_SCRIPT_TERMINATED 17.0 local - 16
1596757163 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 16
1596757163 clean_up_local_level_6_0 SUBMIT 18.0 local - 17
1596757163 register_local_2_0 SUBMIT 19.0 local - 18
1596757167 register_local_2_0 EXECUTE 19.0 local - 18
1596757167 clean_up_local_level_6_0 EXECUTE 18.0 local - 17
1596757169 clean_up_local_level_6_0 JOB_TERMINATED 18.0 local - 17
1596757173 clean_up_local_level_6_0 JOB_SUCCESS 0 local - 17
1596757173 clean_up_local_level_6_0 POST_SCRIPT_STARTED 18.0 local - 17
1596757171 register_local_2_0 JOB_TERMINATED 19.0 local - 18
1596757173 register_local_2_0 JOB_SUCCESS 0 local - 18
1596757173 register_local_2_0 POST_SCRIPT_STARTED 19.0 local - 18
1596757174 clean_up_local_level_6_0 POST_SCRIPT_TERMINATED 18.0 local - 17
1596757178 clean_up_local_level_6_0 POST_SCRIPT_SUCCESS 0 local - 17
1596757174 register_local_2_0 POST_SCRIPT_TERMINATED 19.0 local - 18
1596757178 register_local_2_0 POST_SCRIPT_SUCCESS 0 local - 18
1596757183 cleanup_harry-potter-text-analysis_0_local SUBMIT 20.0 local - 19
1596757188 cleanup_harry-potter-text-analysis_0_local EXECUTE 20.0 local - 19
1596757190 cleanup_harry-potter-text-analysis_0_local JOB_TERMINATED 20.0 local - 19
1596757193 cleanup_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 19
1596757193 cleanup_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 20.0 local - 19
1596757193 cleanup_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 20.0 local - 19
1596757198 cleanup_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 19
1596757199 INTERNAL *** DAGMAN_FINISHED 0 ***
1596757202 INTERNAL *** MONITORD_FINISHED 0 ***
