1597094409 register_local_0_0 JOB_SUCCESS 0 local - 12
1597094409 register_local_0_0 POST_SCRIPT_STARTED 105.0 local - 12
1597094409 plot_ID0000003 POST_SCRIPT_TERMINATED 106.0 condorpool - 13
1597094414 plot_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 13
1597094409 register_local_0_0 POST_SCRIPT_TERMINATED 105.0 local - 12
1597094414 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 12
1597094409 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 104.0 local - 11
1597094414 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 11
1597094409 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 103.0 local - 10
1597094414 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 10
1597094420 clean_up_local_level_5_0 SUBMIT 107.0 local - 14
1597094420 stage_out_local_local_2_0 SUBMIT 108.0 local - 15
1597094420 register_local_1_0 SUBMIT 109.0 local - 16
1597094422 clean_up_local_level_5_0 EXECUTE 107.0 local - 14
1597094422 register_local_1_0 EXECUTE 109.0 local - 16
1597094422 stage_out_local_local_2_0 EXECUTE 108.0 local - 15
1597094425 stage_out_local_local_2_0 JOB_TERMINATED 108.0 local - 15
1597094430 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 15
1597094430 stage_out_local_local_2_0 POST_SCRIPT_STARTED 108.0 local - 15
1597094426 register_local_1_0 JOB_TERMINATED 109.0 local - 16
1597094430 register_local_1_0 JOB_SUCCESS 0 local - 16
1597094430 register_local_1_0 POST_SCRIPT_STARTED 109.0 local - 16
1597094426 clean_up_local_level_5_0 JOB_TERMINATED 107.0 local - 14
1597094430 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 14
1597094430 clean_up_local_level_5_0 POST_SCRIPT_STARTED 107.0 local - 14
1597094430 register_local_1_0 POST_SCRIPT_TERMINATED 109.0 local - 16
1597094435 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 16
1597094430 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 108.0 local - 15
1597094435 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 15
1597094430 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 107.0 local - 14
1597094435 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 14
1597094440 clean_up_local_level_6_0 SUBMIT 110.0 local - 17
1597094441 register_local_2_0 SUBMIT 111.0 local - 18
1597094442 register_local_2_0 EXECUTE 111.0 local - 18
1597094442 clean_up_local_level_6_0 EXECUTE 110.0 local - 17
1597094445 clean_up_local_level_6_0 JOB_TERMINATED 110.0 local - 17
1597094446 clean_up_local_level_6_0 JOB_SUCCESS 0 local - 17
1597094446 clean_up_local_level_6_0 POST_SCRIPT_STARTED 110.0 local - 17
1597094446 register_local_2_0 JOB_TERMINATED 111.0 local - 18
1597094451 register_local_2_0 JOB_SUCCESS 0 local - 18
1597094451 register_local_2_0 POST_SCRIPT_STARTED 111.0 local - 18
1597094446 clean_up_local_level_6_0 POST_SCRIPT_TERMINATED 110.0 local - 17
1597094451 clean_up_local_level_6_0 POST_SCRIPT_SUCCESS 0 local - 17
1597094451 register_local_2_0 POST_SCRIPT_TERMINATED 111.0 local - 18
1597094457 register_local_2_0 POST_SCRIPT_SUCCESS 0 local - 18
1597094457 cleanup_harry-potter-text-analysis_0_local SUBMIT 112.0 local - 19
1597094459 cleanup_harry-potter-text-analysis_0_local EXECUTE 112.0 local - 19
1597094462 cleanup_harry-potter-text-analysis_0_local JOB_TERMINATED 112.0 local - 19
1597094467 cleanup_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 19
1597094467 cleanup_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 112.0 local - 19
1597094467 cleanup_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 112.0 local - 19
1597094472 cleanup_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 19
1597094472 INTERNAL *** DAGMAN_FINISHED 0 ***
1597094474 INTERNAL *** MONITORD_FINISHED 0 ***
