1597041414 INTERNAL *** MONITORD_STARTED ***
1597041410 INTERNAL *** DAGMAN_STARTED 21.0 ***
1597041414 create_dir_harry-potter-text-analysis_0_local SUBMIT 22.0 local - 1
1597041415 create_dir_harry-potter-text-analysis_0_local EXECUTE 22.0 local - 1
1597041417 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 22.0 local - 1
1597041419 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597041419 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 22.0 local - 1
1597041419 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 22.0 local - 1
1597041424 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597041429 stage_in_remote_local_2_0 SUBMIT 23.0 local - 2
1597041429 stage_in_remote_local_1_0 SUBMIT 24.0 local - 3
1597041430 stage_in_remote_local_0_0 SUBMIT 25.0 local - 4
1597041430 stage_in_remote_local_2_0 EXECUTE 23.0 local - 2
1597041430 stage_in_remote_local_0_0 EXECUTE 25.0 local - 4
1597041430 stage_in_local_local_0_0 SUBMIT 26.0 local - 5
1597041430 stage_in_remote_local_1_0 EXECUTE 24.0 local - 3
1597041433 stage_in_remote_local_0_0 JOB_TERMINATED 25.0 local - 4
1597041435 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597041435 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 25.0 local - 4
1597041433 stage_in_remote_local_2_0 JOB_TERMINATED 23.0 local - 2
1597041435 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597041435 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 23.0 local - 2
1597041433 stage_in_remote_local_1_0 JOB_TERMINATED 24.0 local - 3
1597041435 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597041435 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 24.0 local - 3
1597041433 stage_in_local_local_0_0 EXECUTE 26.0 local - 5
1597041436 stage_in_local_local_0_0 JOB_TERMINATED 26.0 local - 5
1597041440 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597041440 stage_in_local_local_0_0 POST_SCRIPT_STARTED 26.0 local - 5
1597041436 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 25.0 local - 4
1597041440 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597041436 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 23.0 local - 2
1597041440 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597041436 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 24.0 local - 3
1597041440 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597041441 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 26.0 local - 5
1597041445 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597041450 word_count_ID0000001 SUBMIT 27.0 condorpool - 6
1597041455 word_count_ID0000001 EXECUTE 27.0 condorpool - 6
1597041457 word_count_ID0000001 JOB_TERMINATED 27.0 condorpool - 6
1597041460 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597041460 word_count_ID0000001 POST_SCRIPT_STARTED 27.0 condorpool - 6
1597041461 word_count_ID0000001 POST_SCRIPT_TERMINATED 27.0 condorpool - 6
1597041465 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1597041470 clean_up_local_level_3_0 SUBMIT 28.0 local - 7
1597041470 stage_out_local_local_0_0 SUBMIT 29.0 local - 8
1597041470 sort_ID0000002 SUBMIT 30.0 condorpool - 9
1597041472 sort_ID0000002 EXECUTE 30.0 condorpool - 9
1597041473 stage_out_local_local_0_0 EXECUTE 29.0 local - 8
1597041473 clean_up_local_level_3_0 EXECUTE 28.0 local - 7
1597041474 sort_ID0000002 JOB_TERMINATED 30.0 condorpool - 9
1597041475 sort_ID0000002 JOB_FAILURE 1 condorpool - 9
1597041475 sort_ID0000002 POST_SCRIPT_STARTED 30.0 condorpool - 9
1597041476 sort_ID0000002 POST_SCRIPT_TERMINATED 30.0 condorpool - 9
1597041480 sort_ID0000002 POST_SCRIPT_FAILURE 1 condorpool - 9
1597041477 stage_out_local_local_0_0 JOB_TERMINATED 29.0 local - 8
1597041480 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1597041480 stage_out_local_local_0_0 POST_SCRIPT_STARTED 29.0 local - 8
1597041478 clean_up_local_level_3_0 JOB_TERMINATED 28.0 local - 7
