1597091468 INTERNAL *** MONITORD_STARTED ***
1597091461 INTERNAL *** DAGMAN_STARTED 81.0 ***
1597091466 create_dir_harry-potter-text-analysis_0_local SUBMIT 82.0 local - 1
1597091471 create_dir_harry-potter-text-analysis_0_local EXECUTE 82.0 local - 1
1597091473 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 82.0 local - 1
1597091476 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597091476 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 82.0 local - 1
1597091476 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 82.0 local - 1
1597091481 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597091486 stage_in_remote_local_2_0 SUBMIT 83.0 local - 2
1597091486 stage_in_remote_local_1_0 SUBMIT 84.0 local - 3
1597091486 stage_in_remote_local_0_0 SUBMIT 85.0 local - 4
1597091486 stage_in_local_local_0_0 SUBMIT 86.0 local - 5
1597091492 stage_in_remote_local_2_0 EXECUTE 83.0 local - 2
1597091492 stage_in_remote_local_0_0 EXECUTE 85.0 local - 4
1597091493 stage_in_remote_local_1_0 EXECUTE 84.0 local - 3
1597091493 stage_in_local_local_0_0 EXECUTE 86.0 local - 5
1597091498 stage_in_remote_local_0_0 JOB_TERMINATED 85.0 local - 4
1597091502 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597091502 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 85.0 local - 4
1597091498 stage_in_remote_local_1_0 JOB_TERMINATED 84.0 local - 3
1597091502 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597091502 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 84.0 local - 3
1597091498 stage_in_local_local_0_0 JOB_TERMINATED 86.0 local - 5
1597091502 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597091502 stage_in_local_local_0_0 POST_SCRIPT_STARTED 86.0 local - 5
1597091498 stage_in_remote_local_2_0 JOB_TERMINATED 83.0 local - 2
1597091502 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597091502 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 83.0 local - 2
1597091503 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 85.0 local - 4
1597091507 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597091503 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 84.0 local - 3
1597091507 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597091503 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 86.0 local - 5
1597091507 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597091503 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 83.0 local - 2
1597091507 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597091512 word_count_ID0000001 SUBMIT 87.0 condorpool - 6
1597091518 word_count_ID0000001 EXECUTE 87.0 condorpool - 6
1597091522 word_count_ID0000001 JOB_TERMINATED 87.0 condorpool - 6
1597091522 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597091522 word_count_ID0000001 POST_SCRIPT_STARTED 87.0 condorpool - 6
1597091523 word_count_ID0000001 POST_SCRIPT_TERMINATED 87.0 condorpool - 6
1597091527 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1597091532 clean_up_local_level_3_0 SUBMIT 88.0 local - 7
1597091532 stage_out_local_local_0_0 SUBMIT 89.0 local - 8
1597091532 sort_ID0000002 SUBMIT 90.0 condorpool - 9
1597091535 sort_ID0000002 EXECUTE 90.0 condorpool - 9
1597091535 stage_out_local_local_0_0 EXECUTE 89.0 local - 8
1597091535 clean_up_local_level_3_0 EXECUTE 88.0 local - 7
1597091537 sort_ID0000002 JOB_TERMINATED 90.0 condorpool - 9
1597091537 sort_ID0000002 JOB_FAILURE 1 condorpool - 9
1597091537 sort_ID0000002 POST_SCRIPT_STARTED 90.0 condorpool - 9
1597091538 stage_out_local_local_0_0 JOB_TERMINATED 89.0 local - 8
1597091542 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1597091542 stage_out_local_local_0_0 POST_SCRIPT_STARTED 89.0 local - 8
1597091538 sort_ID0000002 POST_SCRIPT_TERMINATED 90.0 condorpool - 9
1597091542 sort_ID0000002 POST_SCRIPT_FAILURE 1 condorpool - 9
1597091539 clean_up_local_level_3_0 JOB_TERMINATED 88.0 local - 7
1597091542 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1597091542 clean_up_local_level_3_0 POST_SCRIPT_STARTED 88.0 local - 7
1597091543 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 88.0 local - 7
1597091547 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1597091543 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 89.0 local - 8
1597091547 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1597091547 sort_ID0000002 SUBMIT 91.0 condorpool - 10
1597091550 sort_ID0000002 EXECUTE 91.0 condorpool - 10
1597091552 register_local_0_0 SUBMIT 92.0 local - 11
1597091553 sort_ID0000002 JOB_TERMINATED 91.0 condorpool - 10
1597091558 sort_ID0000002 JOB_FAILURE 1 condorpool - 10
1597091558 sort_ID0000002 POST_SCRIPT_STARTED 91.0 condorpool - 10
1597091555 register_local_0_0 EXECUTE 92.0 local - 11
1597091558 sort_ID0000002 POST_SCRIPT_TERMINATED 91.0 condorpool - 10
1597091563 sort_ID0000002 POST_SCRIPT_FAILURE 1 condorpool - 10
1597091562 register_local_0_0 JOB_TERMINATED 92.0 local - 11
1597091563 register_local_0_0 JOB_SUCCESS 0 local - 11
1597091563 register_local_0_0 POST_SCRIPT_STARTED 92.0 local - 11
1597091564 register_local_0_0 POST_SCRIPT_TERMINATED 92.0 local - 11
1597091568 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 11
1597091568 INTERNAL *** DAGMAN_FINISHED 1 ***
1597091570 INTERNAL *** MONITORD_FINISHED 0 ***
