1597089941 INTERNAL *** MONITORD_STARTED ***
1597089937 INTERNAL *** DAGMAN_STARTED 57.0 ***
1597089942 create_dir_harry-potter-text-analysis_0_local SUBMIT 58.0 local - 1
1597089947 create_dir_harry-potter-text-analysis_0_local EXECUTE 58.0 local - 1
1597089949 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 58.0 local - 1
1597089952 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597089952 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 58.0 local - 1
1597089952 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 58.0 local - 1
1597089957 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597089962 stage_in_remote_local_2_0 SUBMIT 59.0 local - 2
1597089962 stage_in_remote_local_1_0 SUBMIT 60.0 local - 3
1597089962 stage_in_remote_local_0_0 SUBMIT 61.0 local - 4
1597089962 stage_in_local_local_0_0 SUBMIT 62.0 local - 5
1597089964 stage_in_remote_local_1_0 EXECUTE 60.0 local - 3
1597089964 stage_in_local_local_0_0 EXECUTE 62.0 local - 5
1597089964 stage_in_remote_local_2_0 EXECUTE 59.0 local - 2
1597089964 stage_in_remote_local_0_0 EXECUTE 61.0 local - 4
1597089969 stage_in_remote_local_2_0 JOB_TERMINATED 59.0 local - 2
1597089972 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597089972 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 59.0 local - 2
1597089969 stage_in_remote_local_1_0 JOB_TERMINATED 60.0 local - 3
1597089972 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597089972 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 60.0 local - 3
1597089969 stage_in_local_local_0_0 JOB_TERMINATED 62.0 local - 5
1597089972 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597089972 stage_in_local_local_0_0 POST_SCRIPT_STARTED 62.0 local - 5
1597089969 stage_in_remote_local_0_0 JOB_TERMINATED 61.0 local - 4
1597089972 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597089972 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 61.0 local - 4
1597089973 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 60.0 local - 3
1597089977 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597089973 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 59.0 local - 2
1597089977 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597089973 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 62.0 local - 5
1597089977 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597089973 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 61.0 local - 4
1597089977 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597089982 word_count_ID0000001 SUBMIT 63.0 condorpool - 6
1597089992 word_count_ID0000001 EXECUTE 63.0 condorpool - 6
1597089994 word_count_ID0000001 JOB_TERMINATED 63.0 condorpool - 6
1597089998 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597089998 word_count_ID0000001 POST_SCRIPT_STARTED 63.0 condorpool - 6
1597089998 word_count_ID0000001 POST_SCRIPT_TERMINATED 63.0 condorpool - 6
1597090003 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1597090008 clean_up_local_level_3_0 SUBMIT 64.0 local - 7
1597090008 stage_out_local_local_0_0 SUBMIT 65.0 local - 8
1597090008 sort_ID0000002 SUBMIT 66.0 condorpool - 9
1597090011 sort_ID0000002 EXECUTE 66.0 condorpool - 9
1597090012 sort_ID0000002 JOB_TERMINATED 66.0 condorpool - 9
1597090013 sort_ID0000002 JOB_FAILURE 1 condorpool - 9
