1597090944 INTERNAL *** MONITORD_STARTED ***
1597090941 INTERNAL *** DAGMAN_STARTED 69.0 ***
1597090945 create_dir_harry-potter-text-analysis_0_local SUBMIT 70.0 local - 1
1597090946 create_dir_harry-potter-text-analysis_0_local EXECUTE 70.0 local - 1
1597090948 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 70.0 local - 1
1597090950 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597090950 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 70.0 local - 1
1597090951 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 70.0 local - 1
1597090955 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597090960 stage_in_remote_local_2_0 SUBMIT 71.0 local - 2
1597090960 stage_in_remote_local_1_0 SUBMIT 72.0 local - 3
1597090960 stage_in_remote_local_0_0 SUBMIT 73.0 local - 4
1597090960 stage_in_local_local_0_0 SUBMIT 74.0 local - 5
1597090961 stage_in_remote_local_1_0 EXECUTE 72.0 local - 3
1597090961 stage_in_local_local_0_0 EXECUTE 74.0 local - 5
1597090962 stage_in_remote_local_0_0 EXECUTE 73.0 local - 4
1597090962 stage_in_remote_local_2_0 EXECUTE 71.0 local - 2
1597090964 stage_in_local_local_0_0 JOB_TERMINATED 74.0 local - 5
1597090965 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597090965 stage_in_local_local_0_0 POST_SCRIPT_STARTED 74.0 local - 5
1597090965 stage_in_remote_local_0_0 JOB_TERMINATED 73.0 local - 4
1597090965 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597090965 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 73.0 local - 4
1597090965 stage_in_remote_local_2_0 JOB_TERMINATED 71.0 local - 2
1597090965 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597090965 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 71.0 local - 2
1597090965 stage_in_remote_local_1_0 JOB_TERMINATED 72.0 local - 3
1597090965 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597090965 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 72.0 local - 3
1597090966 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 71.0 local - 2
1597090970 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597090966 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 74.0 local - 5
1597090970 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597090966 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 73.0 local - 4
1597090970 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597090966 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 72.0 local - 3
1597090970 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597090975 word_count_ID0000001 SUBMIT 75.0 condorpool - 6
1597090980 word_count_ID0000001 EXECUTE 75.0 condorpool - 6
1597090982 word_count_ID0000001 JOB_TERMINATED 75.0 condorpool - 6
1597090985 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597090985 word_count_ID0000001 POST_SCRIPT_STARTED 75.0 condorpool - 6
1597090986 word_count_ID0000001 POST_SCRIPT_TERMINATED 75.0 condorpool - 6
1597090991 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1597090996 clean_up_local_level_3_0 SUBMIT 76.0 local - 7
1597090996 stage_out_local_local_0_0 SUBMIT 77.0 local - 8
1597090996 sort_ID0000002 SUBMIT 78.0 condorpool - 9
1597090998 stage_out_local_local_0_0 EXECUTE 77.0 local - 8
1597090998 clean_up_local_level_3_0 EXECUTE 76.0 local - 7
1597090999 sort_ID0000002 EXECUTE 78.0 condorpool - 9
1597091001 sort_ID0000002 JOB_TERMINATED 78.0 condorpool - 9
1597091001 sort_ID0000002 JOB_FAILURE 1 condorpool - 9
1597091001 sort_ID0000002 POST_SCRIPT_STARTED 78.0 condorpool - 9
1597091001 stage_out_local_local_0_0 JOB_TERMINATED 77.0 local - 8
1597091001 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1597091001 stage_out_local_local_0_0 POST_SCRIPT_STARTED 77.0 local - 8
1597091002 sort_ID0000002 POST_SCRIPT_TERMINATED 78.0 condorpool - 9
1597091006 sort_ID0000002 POST_SCRIPT_FAILURE 1 condorpool - 9
1597091002 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 77.0 local - 8
1597091006 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1597091003 clean_up_local_level_3_0 JOB_TERMINATED 76.0 local - 7
1597091006 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1597091006 clean_up_local_level_3_0 POST_SCRIPT_STARTED 76.0 local - 7
1597091007 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 76.0 local - 7
1597091011 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1597091011 register_local_0_0 SUBMIT 79.0 local - 10
1597091011 sort_ID0000002 SUBMIT 80.0 condorpool - 11
1597091013 register_local_0_0 EXECUTE 79.0 local - 10
1597091013 sort_ID0000002 EXECUTE 80.0 condorpool - 11
1597091015 sort_ID0000002 JOB_TERMINATED 80.0 condorpool - 11
1597091016 sort_ID0000002 JOB_FAILURE 1 condorpool - 11
1597091016 sort_ID0000002 POST_SCRIPT_STARTED 80.0 condorpool - 11
1597091016 sort_ID0000002 POST_SCRIPT_TERMINATED 80.0 condorpool - 11
1597091021 sort_ID0000002 POST_SCRIPT_FAILURE 1 condorpool - 11
1597091018 register_local_0_0 JOB_TERMINATED 79.0 local - 10
1597091021 register_local_0_0 JOB_SUCCESS 0 local - 10
1597091021 register_local_0_0 POST_SCRIPT_STARTED 79.0 local - 10
1597091022 register_local_0_0 POST_SCRIPT_TERMINATED 79.0 local - 10
1597091026 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 10
1597091026 INTERNAL *** DAGMAN_FINISHED 1 ***
1597091028 INTERNAL *** MONITORD_FINISHED 0 ***
