1597042395 INTERNAL *** MONITORD_STARTED ***
1597042391 INTERNAL *** DAGMAN_STARTED 45.0 ***
1597042395 create_dir_harry-potter-text-analysis_0_local SUBMIT 46.0 local - 1
1597042396 create_dir_harry-potter-text-analysis_0_local EXECUTE 46.0 local - 1
1597042399 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 46.0 local - 1
1597042400 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597042400 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 46.0 local - 1
1597042401 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 46.0 local - 1
1597042405 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597042410 stage_in_remote_local_2_0 SUBMIT 47.0 local - 2
1597042410 stage_in_remote_local_1_0 SUBMIT 48.0 local - 3
1597042410 stage_in_remote_local_0_0 SUBMIT 49.0 local - 4
1597042410 stage_in_local_local_0_0 SUBMIT 50.0 local - 5
1597042413 stage_in_remote_local_2_0 EXECUTE 47.0 local - 2
1597042413 stage_in_remote_local_0_0 EXECUTE 49.0 local - 4
1597042413 stage_in_remote_local_1_0 EXECUTE 48.0 local - 3
1597042413 stage_in_local_local_0_0 EXECUTE 50.0 local - 5
1597042417 stage_in_remote_local_1_0 JOB_TERMINATED 48.0 local - 3
1597042420 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597042420 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 48.0 local - 3
1597042417 stage_in_remote_local_2_0 JOB_TERMINATED 47.0 local - 2
1597042420 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597042420 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 47.0 local - 2
1597042417 stage_in_local_local_0_0 JOB_TERMINATED 50.0 local - 5
1597042420 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597042420 stage_in_local_local_0_0 POST_SCRIPT_STARTED 50.0 local - 5
1597042417 stage_in_remote_local_0_0 JOB_TERMINATED 49.0 local - 4
1597042420 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597042420 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 49.0 local - 4
1597042421 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 48.0 local - 3
1597042425 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597042421 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 50.0 local - 5
1597042425 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597042421 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 49.0 local - 4
1597042425 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597042421 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 47.0 local - 2
1597042425 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597042430 word_count_ID0000001 SUBMIT 51.0 condorpool - 6
1597042440 word_count_ID0000001 EXECUTE 51.0 condorpool - 6
1597042441 word_count_ID0000001 JOB_TERMINATED 51.0 condorpool - 6
1597042445 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597042445 word_count_ID0000001 POST_SCRIPT_STARTED 51.0 condorpool - 6
