1597042053 INTERNAL *** MONITORD_STARTED ***
1597042050 INTERNAL *** DAGMAN_STARTED 33.0 ***
1597042054 create_dir_harry-potter-text-analysis_0_local SUBMIT 34.0 local - 1
1597042059 create_dir_harry-potter-text-analysis_0_local EXECUTE 34.0 local - 1
1597042061 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 34.0 local - 1
1597042064 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597042064 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 34.0 local - 1
1597042064 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 34.0 local - 1
1597042069 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597042074 stage_in_remote_local_2_0 SUBMIT 35.0 local - 2
1597042074 stage_in_remote_local_1_0 SUBMIT 36.0 local - 3
1597042075 stage_in_remote_local_0_0 SUBMIT 37.0 local - 4
1597042075 stage_in_local_local_0_0 SUBMIT 38.0 local - 5
1597042079 stage_in_remote_local_1_0 EXECUTE 36.0 local - 3
1597042079 stage_in_local_local_0_0 EXECUTE 38.0 local - 5
1597042079 stage_in_remote_local_2_0 EXECUTE 35.0 local - 2
1597042079 stage_in_remote_local_0_0 EXECUTE 37.0 local - 4
1597042083 stage_in_remote_local_2_0 JOB_TERMINATED 35.0 local - 2
1597042085 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597042085 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 35.0 local - 2
1597042083 stage_in_local_local_0_0 JOB_TERMINATED 38.0 local - 5
1597042085 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597042085 stage_in_local_local_0_0 POST_SCRIPT_STARTED 38.0 local - 5
1597042083 stage_in_remote_local_1_0 JOB_TERMINATED 36.0 local - 3
1597042085 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597042085 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 36.0 local - 3
1597042083 stage_in_remote_local_0_0 JOB_TERMINATED 37.0 local - 4
1597042085 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597042085 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 37.0 local - 4
1597042086 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 38.0 local - 5
1597042090 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597042086 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 36.0 local - 3
1597042090 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597042086 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 37.0 local - 4
1597042090 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597042086 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 35.0 local - 2
1597042090 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597042095 word_count_ID0000001 SUBMIT 39.0 condorpool - 6
1597042103 word_count_ID0000001 EXECUTE 39.0 condorpool - 6
1597042105 word_count_ID0000001 JOB_TERMINATED 39.0 condorpool - 6
1597042105 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597042105 word_count_ID0000001 POST_SCRIPT_STARTED 39.0 condorpool - 6
1597042105 word_count_ID0000001 POST_SCRIPT_TERMINATED 39.0 condorpool - 6
1597042110 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1597042116 clean_up_local_level_3_0 SUBMIT 40.0 local - 7
1597042116 stage_out_local_local_0_0 SUBMIT 41.0 local - 8
1597042116 sort_ID0000002 SUBMIT 42.0 condorpool - 9
1597042118 sort_ID0000002 EXECUTE 42.0 condorpool - 9
1597042119 clean_up_local_level_3_0 EXECUTE 40.0 local - 7
1597042119 stage_out_local_local_0_0 EXECUTE 41.0 local - 8
1597042120 sort_ID0000002 JOB_TERMINATED 42.0 condorpool - 9
1597042121 sort_ID0000002 JOB_FAILURE 1 condorpool - 9
1597042121 sort_ID0000002 POST_SCRIPT_STARTED 42.0 condorpool - 9
1597042121 sort_ID0000002 POST_SCRIPT_TERMINATED 42.0 condorpool - 9
1597042126 sort_ID0000002 POST_SCRIPT_FAILURE 1 condorpool - 9
1597042122 stage_out_local_local_0_0 JOB_TERMINATED 41.0 local - 8
1597042126 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1597042126 stage_out_local_local_0_0 POST_SCRIPT_STARTED 41.0 local - 8
1597042123 clean_up_local_level_3_0 JOB_TERMINATED 40.0 local - 7
1597042126 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1597042126 clean_up_local_level_3_0 POST_SCRIPT_STARTED 40.0 local - 7
1597042127 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 40.0 local - 7
1597042131 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1597042127 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 41.0 local - 8
1597042131 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1597042131 sort_ID0000002 SUBMIT 43.0 condorpool - 10
1597042133 sort_ID0000002 EXECUTE 43.0 condorpool - 10
1597042135 sort_ID0000002 JOB_TERMINATED 43.0 condorpool - 10
1597042136 sort_ID0000002 JOB_FAILURE 1 condorpool - 10
1597042136 sort_ID0000002 POST_SCRIPT_STARTED 43.0 condorpool - 10
1597042136 register_local_0_0 SUBMIT 44.0 local - 11
1597042137 sort_ID0000002 POST_SCRIPT_TERMINATED 43.0 condorpool - 10
1597042141 sort_ID0000002 POST_SCRIPT_FAILURE 1 condorpool - 10
1597042140 register_local_0_0 EXECUTE 44.0 local - 11
1597042145 register_local_0_0 JOB_TERMINATED 44.0 local - 11
1597042146 register_local_0_0 JOB_SUCCESS 0 local - 11
1597042146 register_local_0_0 POST_SCRIPT_STARTED 44.0 local - 11
1597042146 register_local_0_0 POST_SCRIPT_TERMINATED 44.0 local - 11
1597042151 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 11
1597042152 INTERNAL *** DAGMAN_FINISHED 1 ***
1597042153 INTERNAL *** MONITORD_FINISHED 0 ***
